IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140358187,OTHER OFFENSES,PAROLE VIOLATION,Wednesday,04/30/2014,10:40,TENDERLOIN,"ARREST, BOOKED",100 Block of TAYLOR ST,-122.410831672684,37.7833146741427,"(37.7833146741427, -122.410831672684)"
140358541,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,04/30/2014,10:00,NORTHERN,NONE,STEINER ST / TURK ST,-122.433784764382,37.7802873652863,"(37.7802873652863, -122.433784764382)"
140358579,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Wednesday,04/30/2014,16:50,SOUTHERN,NONE,800 Block of 4TH ST,-122.393707241082,37.7761145466208,"(37.7761145466208, -122.393707241082)"
140358739,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,04/30/2014,19:59,NORTHERN,COMPLAINANT REFUSES TO PROSECUTE,1300 Block of WEBSTER ST,-122.430908286149,37.7828933039182,"(37.7828933039182, -122.430908286149)"
140358193,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,04/30/2014,17:30,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411550531507,37.7812886524467,"(37.7812886524467, -122.411550531507)"
140358193,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,04/30/2014,17:30,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411550531507,37.7812886524467,"(37.7812886524467, -122.411550531507)"
140358212,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,04/30/2014,07:30,BAYVIEW,NONE,BARNEVELD AV / GAVEN ST,-122.40754847997,37.7337040501622,"(37.7337040501622, -122.40754847997)"
140358228,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,17:50,INGLESIDE,"ARREST, CITED",1800 Block of ALEMANY BL,-122.438183102464,37.7222901231203,"(37.7222901231203, -122.438183102464)"
140358682,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,04/30/2014,03:00,BAYVIEW,NONE,1900 Block of JERROLD AV,-122.396061065796,37.7425322954589,"(37.7425322954589, -122.396061065796)"
140358591,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,19:00,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.370740926948,37.8170463264224,"(37.8170463264224, -122.370740926948)"
140358698,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,04/30/2014,19:00,BAYVIEW,NOT PROSECUTED,4800 Block of 3RD ST,-122.390742354481,37.7347942530278,"(37.7347942530278, -122.390742354481)"
140356595,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,04/30/2014,04:43,MISSION,"ARREST, BOOKED",18TH ST / CAPP ST,-122.418272166422,37.7619029613022,"(37.7619029613022, -122.418272166422)"
140356608,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,04/30/2014,05:00,CENTRAL,NONE,KEARNY ST / CALIFORNIA ST,-122.404420631879,37.792640210997,"(37.792640210997, -122.404420631879)"
140358240,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,04/30/2014,18:06,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411983902213,37.7809476497663,"(37.7809476497663, -122.411983902213)"
140358240,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,04/30/2014,18:06,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411983902213,37.7809476497663,"(37.7809476497663, -122.411983902213)"
140356614,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,04:30,INGLESIDE,PSYCHOPATHIC CASE,DELANO AV / GENEVA AV,-122.44512779465,37.7200882952758,"(37.7200882952758, -122.44512779465)"
140356642,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,04/30/2014,04:59,CENTRAL,PSYCHOPATHIC CASE,800 Block of POST ST,-122.415405854339,37.7873674450086,"(37.7873674450086, -122.415405854339)"
140356642,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,04/30/2014,04:59,CENTRAL,PSYCHOPATHIC CASE,800 Block of POST ST,-122.415405854339,37.7873674450086,"(37.7873674450086, -122.415405854339)"
140356642,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,04/30/2014,04:59,CENTRAL,PSYCHOPATHIC CASE,800 Block of POST ST,-122.415405854339,37.7873674450086,"(37.7873674450086, -122.415405854339)"
140356642,WARRANTS,WARRANT ARREST,Wednesday,04/30/2014,04:59,CENTRAL,PSYCHOPATHIC CASE,800 Block of POST ST,-122.415405854339,37.7873674450086,"(37.7873674450086, -122.415405854339)"
140356670,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,04/30/2014,07:28,PARK,"ARREST, BOOKED",HAIGHT ST / MASONIC AV,-122.4453467866,37.7702081959172,"(37.7702081959172, -122.4453467866)"
140358698,NON-CRIMINAL,AIDED CASE,Wednesday,04/30/2014,19:00,BAYVIEW,NOT PROSECUTED,4800 Block of 3RD ST,-122.390742354481,37.7347942530278,"(37.7347942530278, -122.390742354481)"
140356692,OTHER OFFENSES,RESISTING ARREST,Wednesday,04/30/2014,07:21,RICHMOND,"ARREST, CITED",700 Block of 7TH AV,-122.464939649174,37.7746740400352,"(37.7746740400352, -122.464939649174)"
140358240,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,04/30/2014,18:06,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411983902213,37.7809476497663,"(37.7809476497663, -122.411983902213)"
140358610,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,04/30/2014,18:30,SOUTHERN,NONE,0 Block of THE EMBARCADERONORTH ST,-122.393968166002,37.7951032118279,"(37.7951032118279, -122.393968166002)"
146082714,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,19:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403742962696,37.7752316978114,"(37.7752316978114, -122.403742962696)"
140356783,FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES",Wednesday,04/30/2014,08:34,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.412515341356,37.7804777480508,"(37.7804777480508, -122.412515341356)"
140356783,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Wednesday,04/30/2014,08:34,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.412515341356,37.7804777480508,"(37.7804777480508, -122.412515341356)"
140356783,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,04/30/2014,08:34,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.412515341356,37.7804777480508,"(37.7804777480508, -122.412515341356)"
140356799,WARRANTS,WARRANT ARREST,Wednesday,04/30/2014,09:01,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.428895968789,37.7674980602608,"(37.7674980602608, -122.428895968789)"
140356802,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Wednesday,04/30/2014,08:18,MISSION,"ARREST, BOOKED",800 Block of TREAT AV,-122.413468268275,37.7571154848457,"(37.7571154848457, -122.413468268275)"
140356802,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,04/30/2014,08:18,MISSION,"ARREST, BOOKED",800 Block of TREAT AV,-122.413468268275,37.7571154848457,"(37.7571154848457, -122.413468268275)"
140356830,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,04/30/2014,08:55,TENDERLOIN,"ARREST, BOOKED",400 Block of EDDY ST,-122.414436710648,37.7837333940956,"(37.7837333940956, -122.414436710648)"
140356868,NON-CRIMINAL,AIDED CASE,Wednesday,04/30/2014,09:03,MISSION,PSYCHOPATHIC CASE,200 Block of 13TH ST,-122.416755532165,37.7716975465666,"(37.7716975465666, -122.416755532165)"
140356959,MISSING PERSON,FOUND PERSON,Wednesday,04/30/2014,09:30,PARK,"ARREST, BOOKED",1800 Block of MCALLISTER ST,-122.442067918634,37.7773568865453,"(37.7773568865453, -122.442067918634)"
140356971,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,10:02,NORTHERN,PSYCHOPATHIC CASE,VANNESS AV / CALIFORNIA ST,-122.422330464198,37.790369068882,"(37.790369068882, -122.422330464198)"
140358256,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,18:11,PARK,"ARREST, CITED",FULTON ST / LYON ST,-122.443133758028,37.7762247658783,"(37.7762247658783, -122.443133758028)"
140357010,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,04/30/2014,09:00,INGLESIDE,NONE,2000 Block of SAN JOSE AV,-122.444038451199,37.7240185118084,"(37.7240185118084, -122.444038451199)"
140358626,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,04/30/2014,16:30,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.370740926948,37.8170463264224,"(37.8170463264224, -122.370740926948)"
140357032,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,04/30/2014,10:10,TENDERLOIN,NONE,HYDE ST / EDDY ST,-122.415885065788,37.7835160564153,"(37.7835160564153, -122.415885065788)"
